Date,GRBK Gross Profit,KBH Gross Profit,MHO Gross Profit,TMHC Gross Profit,TPH Gross Profit
12/31/2022,-0.045891693,0.225546839,0.024450182,0.173460649,0.392968321
12/31/2021,-0.307759667,-0.25768058,-0.129259984,-0.26022455,-0.145269272
12/31/2020,-0.352028261,-0.35811122,-0.246598417,-0.325388063,-0.26611875
12/31/2019,0,0,0,0,0
