Year,BSM Gross Profit,CRC Gross Profit,GPOR Gross Profit,MGY Gross Profit,MUR Gross Profit,SM Gross Profit
12/31/2022,0.699690738,0.296085409,2.013948297,0.767552612,0.567177186,0.911236051
12/31/2021,-0.419563529,-0.25590335,-0.746149242,-0.402728234,-0.462216915,-0.378604422
12/31/2020,-0.588511195,0,-0.56173611,-0.791635376,-1.006256174,-1.037945153
12/31/2019,0,-0.219188192,0,0,0,0
